time,Activity,Accelerometer.X,Accelerometer.Y,Accelerometer.Z,ID,Ind_ID
2014-09-13 10:30:11,CLIP,0.13,-0.25,-0.75,G!_Bk!,G!_Bk!
2014-09-13 10:30:12,CLIP,0.13,-0.13,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:30:12,CLIP,0.13,-0.13,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:30:13,CLIP,-0.56,-0.19,0.06,G!_Bk!,G!_Bk!
2014-09-13 10:30:13,CLIP,-0.56,-0.19,0.06,G!_Bk!,G!_Bk!
2014-09-13 10:30:14,CLIP,-0.94,-0.25,-1,G!_Bk!,G!_Bk!
2014-09-13 10:30:14,CLIP,-0.94,-0.25,-1,G!_Bk!,G!_Bk!
2014-09-13 10:30:15,CLIP,-0.5,-0.06,-1.13,G!_Bk!,G!_Bk!
2014-09-13 10:30:15,CLIP,-0.5,-0.06,-1.13,G!_Bk!,G!_Bk!
2014-09-13 10:30:16,CLIP,0.69,-0.38,-0.06,G!_Bk!,G!_Bk!
2014-09-13 10:30:16,CLIP,0.69,-0.38,-0.06,G!_Bk!,G!_Bk!
2014-09-13 10:30:17,CLIP,0.88,-0.81,-0.31,G!_Bk!,G!_Bk!
2014-09-13 10:30:17,CLIP,0.88,-0.81,-0.31,G!_Bk!,G!_Bk!
2014-09-13 10:30:18,CLIP,0.19,-0.5,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:30:18,CLIP,0.19,-0.5,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:30:19,CLIP,-0.31,-0.19,0.19,G!_Bk!,G!_Bk!
2014-09-13 10:30:19,CLIP,-0.31,-0.19,0.19,G!_Bk!,G!_Bk!
2014-09-13 10:30:20,CLIP,0.63,0.25,1,G!_Bk!,G!_Bk!
2014-09-13 10:30:40,CLIP,-0.44,0.25,-1.75,G!_Bk!,G!_Bk!
2014-09-13 10:30:41,CLIP,-0.63,-0.13,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:30:41,CLIP,-0.63,-0.13,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:30:42,CLIP,-0.81,1.44,0.31,G!_Bk!,G!_Bk!
2014-09-13 10:30:42,CLIP,-0.81,1.44,0.31,G!_Bk!,G!_Bk!
2014-09-13 10:30:43,CLIP,-0.69,0.56,1.94,G!_Bk!,G!_Bk!
2014-09-13 10:30:43,CLIP,-0.69,0.56,1.94,G!_Bk!,G!_Bk!
2014-09-13 10:30:44,CLIP,-0.38,0.94,-1.13,G!_Bk!,G!_Bk!
2014-09-13 10:30:44,CLIP,-0.38,0.94,-1.13,G!_Bk!,G!_Bk!
2014-09-13 10:30:45,CLIP,-0.75,0.06,-1.19,G!_Bk!,G!_Bk!
2014-09-13 10:30:45,CLIP,-0.75,0.06,-1.19,G!_Bk!,G!_Bk!
2014-09-13 10:30:46,CLIP,-0.25,-0.44,-0.38,G!_Bk!,G!_Bk!
2014-09-13 10:30:46,CLIP,-0.25,-0.44,-0.38,G!_Bk!,G!_Bk!
2014-09-13 10:30:47,CLIP,-0.5,-0.69,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:30:47,CLIP,-0.5,-0.69,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:30:48,CLIP,-0.69,-0.75,0,G!_Bk!,G!_Bk!
2014-09-13 10:30:48,CLIP,-0.69,-0.75,0,G!_Bk!,G!_Bk!
2014-09-13 10:30:49,CLIP,-0.25,-0.5,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:30:49,CLIP,-0.25,-0.5,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:30:50,CLIP,-0.13,-0.38,-1,G!_Bk!,G!_Bk!
2014-09-13 10:30:53,notMoving,1.06,-0.25,-2,G!_Bk!,G!_Bk!
2014-09-13 10:30:54,notMoving,0.25,-0.19,-3.25,G!_Bk!,G!_Bk!
2014-09-13 10:30:55,SlowMove,0.19,-0.19,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:30:56,SlowMove,0.19,-0.44,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:30:56,SlowMove,0.19,-0.44,-0.88,G!_Bk!,G!_Bk!
2014-09-13 10:30:57,SlowMove,0.19,-0.5,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:30:57,SlowMove,0.19,-0.5,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:30:58,SlowMove,0.19,-0.44,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:30:58,SlowMove,0.19,-0.44,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:30:59,SlowMove,-0.13,-0.63,-1.19,G!_Bk!,G!_Bk!
2014-09-13 10:30:59,SlowMove,-0.13,-0.63,-1.19,G!_Bk!,G!_Bk!
2014-09-13 10:31:00,SlowMove,0,-0.56,-1,G!_Bk!,G!_Bk!
2014-09-13 10:31:00,SlowMove,0,-0.56,-1,G!_Bk!,G!_Bk!
2014-09-13 10:31:01,SlowMove,0,-0.5,-1,G!_Bk!,G!_Bk!
2014-09-13 10:31:02,CLIP,0.19,0.06,-0.63,G!_Bk!,G!_Bk!
2014-09-13 10:31:03,CLIP,0.75,-0.44,-0.44,G!_Bk!,G!_Bk!
2014-09-13 10:31:03,CLIP,0.75,-0.44,-0.44,G!_Bk!,G!_Bk!
2014-09-13 10:31:04,CLIP,0.25,-0.25,-1.31,G!_Bk!,G!_Bk!
2014-09-13 10:31:04,CLIP,0.25,-0.25,-1.31,G!_Bk!,G!_Bk!
2014-09-13 10:31:05,CLIP,0.38,-0.5,0,G!_Bk!,G!_Bk!
2014-09-13 10:31:05,CLIP,0.38,-0.5,0,G!_Bk!,G!_Bk!
2014-09-13 10:31:06,CLIP,-0.06,-0.69,-0.19,G!_Bk!,G!_Bk!
2014-09-13 10:31:06,CLIP,-0.06,-0.69,-0.19,G!_Bk!,G!_Bk!
2014-09-13 10:31:07,CLIP,-1.06,-0.44,0.38,G!_Bk!,G!_Bk!
2014-09-13 10:31:07,CLIP,-1.06,-0.44,0.38,G!_Bk!,G!_Bk!
